author_min,author_max,zw_cooper_num,scopus_cooper_num,total_cooper_num,interdiscipline
101578,102681,1,0,1,0
101117,104201,3,7,10,0
98361,99463,2,0,2,0
110770,111991,1,0,1,0
91058,109767,1,0,1,0
113726,114595,0,2,2,0
103788,104852,1,0,1,0
95152,106904,1,0,1,0
98843,109645,1,0,1,0
106944,110145,2,0,2,0
91489,114074,0,4,4,1
109515,113372,0,1,1,0
109165,110640,1,0,1,0
102438,106477,3,0,3,0
102200,103876,1,0,1,0
112505,113709,0,1,1,0
106913,115572,0,1,1,0
102370,102785,1,0,1,0
114104,114968,0,2,2,0
89730,98453,1,0,1,0
104965,106984,1,1,2,0
110163,110488,1,0,1,0
99172,108384,0,1,1,0
106367,114792,0,1,1,0
104768,113537,0,1,1,0
99598,105957,1,1,2,0
89384,99597,4,0,4,0
90009,106630,2,0,2,0
97724,99955,1,0,1,0
90480,102361,2,2,4,0
96981,112387,1,0,1,0
102379,112625,0,1,1,0
101233,106043,1,0,1,0
113182,116353,0,2,2,0
91059,98497,5,0,5,0
107891,113456,0,1,1,0
108004,108333,0,1,1,0
91372,98959,1,0,1,0
87719,105540,0,2,2,0
108875,114882,0,1,1,0
100517,102721,1,0,1,0
101117,106882,3,27,30,0
99598,105941,1,0,1,0
113464,113807,0,1,1,0
113464,113801,0,4,4,0
95966,114804,0,2,2,0
105851,109538,1,0,1,0
99904,107309,0,2,2,0
112900,113018,0,1,1,0
110927,111333,1,0,1,0
91214,99717,1,1,2,0
100076,109094,4,0,4,0
89991,101099,2,0,2,0
109471,114247,0,1,1,1
97167,97169,1,0,1,0
112514,113192,0,1,1,0
105386,110718,0,1,1,0
97167,97168,1,0,1,0
90617,101887,1,0,1,0
95900,108959,1,1,2,0
96846,110128,1,0,1,0
113601,114872,0,2,2,0
100290,102810,1,0,1,0
101117,116204,0,2,2,0
101807,107775,2,0,2,0
90625,93747,1,0,1,0
110244,111400,1,0,1,0
98549,102848,2,0,2,0
110163,110492,1,0,1,0
110163,110490,1,0,1,0
98061,102087,1,0,1,0
115313,116379,0,1,1,0
105851,109525,1,0,1,0
89867,104513,2,0,2,0
101117,106898,1,14,15,0
89445,110043,1,0,1,0
98306,106013,1,0,1,0
92688,96523,1,0,1,0
92688,96524,1,0,1,0
89579,89777,0,1,1,1
99810,104831,1,0,1,0
103191,103274,0,1,1,1
104768,113542,0,1,1,0
104768,113543,0,1,1,0
91837,106361,2,1,3,0
112619,112993,0,2,2,0
114259,115523,0,1,1,0
95444,108547,0,1,1,1
95607,106877,1,0,1,1
113601,114858,0,4,4,0
102587,106514,1,0,1,0
93732,104423,1,0,1,0
102471,108855,1,1,2,0
91571,115518,0,1,1,0
94414,105807,0,4,4,0
94407,114226,0,1,1,1
95057,113359,0,1,1,0
114473,115086,0,2,2,0
89128,102399,1,0,1,0
95792,113413,0,1,1,0
101322,106984,1,2,3,0
98515,108298,1,0,1,1
104188,106167,2,0,2,0
92758,108270,1,0,1,0
95057,113366,0,2,2,0
91538,113104,0,18,18,0
92351,114679,0,1,1,1
90972,90973,1,0,1,0
104930,107641,1,0,1,0
96352,108917,0,1,1,0
96586,109482,0,1,1,0
92920,105979,1,0,1,0
92766,105582,1,0,1,0
94414,105817,0,2,2,0
102703,108717,2,0,2,0
104000,107335,1,0,1,0
105249,106451,1,0,1,1
97767,102680,1,0,1,0
110770,111962,2,0,2,0
89863,91059,2,0,2,0
92436,103136,0,2,2,0
98730,106791,1,0,1,0
92639,110096,1,9,10,0
103583,106259,1,0,1,0
104570,106570,1,0,1,0
104985,109481,1,0,1,0
102736,104318,1,0,1,1
91538,115735,0,2,2,0
93579,100308,1,0,1,0
105273,106820,1,2,3,0
100211,112683,0,8,8,0
92351,114668,0,3,3,0
101129,103636,1,0,1,0
89232,107378,3,0,3,0
91237,108488,1,0,1,0
101117,106843,3,0,3,0
97315,108877,1,0,1,0
103400,105822,2,0,2,0
113605,114314,0,1,1,0
114980,115182,0,1,1,1
98508,107249,1,0,1,0
101786,108567,1,0,1,0
90137,105269,4,3,7,0
112842,114535,0,2,2,0
106363,110098,4,0,4,0
98488,104374,1,0,1,0
103099,108605,0,1,1,0
115564,116227,0,1,1,0
100614,116131,0,1,1,0
102108,104023,1,0,1,0
102826,107390,2,0,2,0
90277,103290,2,0,2,0
114473,115055,0,1,1,0
102301,110984,0,1,1,0
91448,100715,2,0,2,0
91518,91540,3,0,3,0
107573,109445,2,0,2,0
113782,114244,0,1,1,0
112710,113830,0,1,1,0
97989,106311,1,0,1,0
91526,104326,1,1,2,0
97513,98645,1,0,1,0
103378,106144,2,0,2,0
102990,103128,1,0,1,0
94839,94840,1,0,1,0
103834,106549,1,0,1,0
108127,109628,2,0,2,0
106363,110087,4,0,4,0
113750,114975,0,1,1,0
105979,106661,2,0,2,0
111214,112389,2,0,2,0
109472,109589,1,0,1,0
112767,114072,0,8,8,0
92306,103453,1,0,1,0
97370,103891,1,0,1,0
100434,100748,1,0,1,0
102355,104482,2,0,2,0
89147,102703,2,1,3,0
110141,115296,0,1,1,0
94651,107891,1,5,6,0
100042,106098,1,0,1,0
98968,112920,0,1,1,0
95017,114089,0,1,1,0
93962,105437,1,0,1,0
90268,101292,1,0,1,1
92553,113236,0,3,3,0
103785,107430,1,0,1,1
106904,113524,0,1,1,0
100736,110089,0,1,1,0
91924,103648,1,5,6,0
104781,109886,1,0,1,0
99505,115350,0,2,2,0
89699,108930,0,1,1,0
98968,112930,0,1,1,0
100211,112619,0,1,1,0
113194,115722,0,1,1,0
100802,107515,1,0,1,0
100211,112613,0,1,1,0
92212,112987,0,1,1,0
94658,114129,0,2,2,0
101971,115555,0,1,1,1
107738,108730,1,0,1,0
113143,113447,0,1,1,0
112814,114753,0,1,1,0
100062,114867,0,1,1,0
104510,104869,3,0,3,0
100780,103583,1,0,1,0
91861,95175,1,0,1,0
91861,95174,1,3,4,0
114245,115016,0,1,1,0
99493,106189,1,0,1,0
91861,95176,1,1,2,0
111967,112446,1,0,1,0
96814,107246,2,0,2,0
106259,106630,1,0,1,0
112774,115035,0,1,1,0
100965,105429,1,0,1,0
102691,112578,0,1,1,0
104393,106277,1,0,1,0
