id,author_cn_name,author_en_name,author_org,backups
85271,李布,,商学院,工商管理
85272,王春娣,,法学院,法学
85273,杨原,,历史学院,中国史
85274,张欣沛,,劳动人事学院,公共管理
85275,刘彦涛,,哲学院,哲学
85276,欧阳辉纯,,哲学院,哲学
85277,田永香,,信息资源管理学院,信息资源管理
85278,郭桂昆,,外国语学院,外国语言文学
85279,王虹艳,,外国语学院,外国语言文学
85280,陈咏英,,商学院,工商管理
85281,何青叶,,法学院,法学
85282,吕春晖,,财政金融学院,应用经济学
85283,许琳,,财政金融学院,应用经济学
85284,孔凡青,,哲学院,哲学
85285,黄华继,,应用经济学院,应用经济学
85286,廉水杰,,国学院,中国语言文学
85287,刘名军,,新闻学院,新闻传播学
85288,冯特君,,国际关系学院,政治学
85289,雨天同行,,商学院,工商管理
85290,桂涛,,历史学院,中国史
85291,聂宏光,,法学院,法学
85292,王翼龙,,商学院,工商管理
85293,朱静,,信息资源管理学院,信息资源管理
85294,江丽娜,,马克思主义学院,马克思主义理论
85295,何春丽,,法学院,法学
85296,许莲丽,,法学院,法学
85297,聂慧苹,,法学院,法学
85298,陈锴,,农业与农村发展学院,农林经济管理
85299,尤原庆,,信息资源管理学院,信息资源管理
85300,李贤珠,,经济学院,理论经济学
85301,郑东华,,马克思主义学院,马克思主义理论
85302,高如辰,,国学院,中国语言文学
85303,赵德波,,文学院,中国语言文学
85304,吕天佑,,历史学院,中国史
85305,毛乃纯,,法学院,法学
85306,蒋孝军,,哲学院,哲学
85307,熊伟,,国际关系学院,政治学
85308,吴建伟,,马克思主义学院,马克思主义理论
85309,伍文娟,,马克思主义学院,马克思主义理论
85310,刘铎,,社会与人口学院,社会学
85311,王燕飞,,外国语学院,外国语言文学
85312,赵文启,,新闻学院,新闻传播学
85313,倪伟波,,哲学院,哲学
85314,张学源,,财政金融学院,应用经济学
85315,汤钧,,经济学院,理论经济学
85316,牛毅,"Niu, Yi",公共管理学院,公共管理
85317,张甜,,劳动人事学院,公共管理
85318,赖昌干,,公共管理学院,公共管理
85319,罗军,,信息资源管理学院,信息资源管理
85320,魏万磊,,国际关系学院,政治学
85321,赵禹铭,,经济学院,理论经济学
85322,段自成,,历史学院,中国史
85323,张学昕,,文学院,中国语言文学
